"pid","assessed_value"
1,701986.575333982
2,123298.66732116
3,122969.658584371
4,59763.0087278167
5,188250.204193063
6,357029.394510812
7,165066.245069932
8,233012.72041603
9,164624.691397635
10,127213.003839695
11,229220.077402957
12,90784.8489206572
13,89043.8818746993
14,218983.396493391
15,76999.1146267333
16,1039819.7101755
17,338740.414328468
18,617132.292357243
19,368300.741199384
20,288341.046871046
21,708900.238277083
22,246445.115058855
23,287273.887656196
24,282843.321476737
25,379926.392937572
26,181851.278023966
27,55523.0964558313
28,43947.1802970702
29,207691.635611731
30,233783.56129911
31,131913.311713254
32,223991.636132667
33,296102.880480522
34,43842.4602913676
35,255133.249069027
36,201382.31347286
37,404663.735306382
38,800844.5187162
39,121918.353147789
40,43156.1817271735
41,465266.169549768
42,205341.227280387
43,668632.985216958
44,592371.47513985
45,266419.837520785
46,548705.828467257
47,83863.6867036808
48,910543.209047802
49,162718.9525196
50,132272.400187044
51,174147.360740239
52,96475.8155144262
53,227776.511902775
54,391915.787014699
55,638266.22977775
56,102804.027927106
57,569374.698874203
58,134785.974511787
59,217692.207892569
60,207617.406702746
61,433890.993957215
62,224063.04273634
63,218746.706939578
64,279928.453571129
65,337847.419517436
66,165700.487956827
67,298485.59005438
68,292842.03876103
69,149351.086366564
70,83491.4421284541
71,459699.731433993
72,193920.225126193
73,60513.1355713662
74,114173.115116457
75,181512.151263156
76,162254.996415908
77,180887.165623729
78,97003.3832572355
79,179607.765581417
80,454528.942162389
81,209989.674614398
82,261738.333803033
83,211840.270090474
84,98685.2721086696
85,149162.650601502
86,345368.340250223
87,167329.943982057
88,161128.162168187
89,527109.298721087
90,229135.535921962
91,121999.402411826
92,1131639.70562898
93,248792.10198445
94,242886.85331116
95,207443.855401106
96,290630.257413506
97,261996.496564515
98,51824.8408960099
99,47070.4861760042
100,219074.878899172
101,58275.0480949118
102,149975.935035002
103,247486.878267655
104,112716.209759822
105,60252.4004273948
106,174308.561472957
107,451981.221301536
108,86853.7382294282
109,57031.3298435529
110,255542.549693179
111,79891.9244594578
112,229098.677157402
113,444975.524720347
114,226310.600731257
115,292190.375912967
116,138824.210672827
117,1088453.43590449
118,673315.230455779
119,197296.666682605
120,262264.324975259
121,432962.770640976
122,224910.822730056
123,51103.6698365019
124,624021.101778937
125,350464.007697877
126,726976.038985225
127,216012.417214046
128,119455.702539491
129,472202.125549212
130,601529.112148795
131,90776.5133325602
132,93017.014220308
133,209406.863277998
134,54584.2234290389
135,385934.843827604
136,298630.720663264
137,570060.330861268
138,263782.788202831
139,80574.8404385349
140,233697.413965463
141,409132.747248883
142,708030.51409182
143,127723.957559507
144,208265.058002344
145,310875.178194796
146,188358.099589318
147,512477.97563833
148,121942.791371287
149,209640.401982001
150,322084.350214378
151,249462.301593079
152,796673.925027767
153,324053.771235647
154,123657.684783715
155,306571.549076724
156,711565.658303472
157,604633.07735267
158,57872.969809813
159,783011.965892364
160,89886.4926613558
161,22882.1545532229
162,158842.538833261
163,156986.345846312
164,316521.521764356
165,218527.02911292
166,241437.740049824
167,392453.089398298
